17.248,17.869,17.248,353008,17.662
17.455,17.79,17.248,364884,17.248
17.248,17.662,17.248,331901,17.662
18.076,19.969,18.076,215725,19.969
19.84,21.693,19.84,244172,21.289
21.822,21.822,20.787,498473,21.408
22.236,23.793,22.236,364042,23.596
23.389,23.389,22.147,285412,22.64
24,25.646,24,299122,25.36
25.981,27.006,25.646,394201,25.646
25.981,26.06,25.449,411490,25.774
25.981,27.627,24.295,306026,24.295
23.389,26.188,23.389,1343005,24.946
24.749,25.36,24.621,214855,24.621
24,24,22.64,93713,22.847
21.615,22.442,21.615,155119,22.029
21.201,21.822,20.787,134284,21.822
22.029,22.029,21.693,159586,21.693
21.615,21.615,20.383,137952,20.875
20.787,21.822,20.383,159625,20.461
19.722,19.969,19.722,142633,19.969
20.383,21.693,20.383,55480,21.408
21.408,21.408,20.787,109175,20.994
22.029,22.975,22.029,179933,22.975
23.468,23.468,22.442,122369,22.561
23.881,25.853,23.881,234099,25.853
26.267,27.006,25.035,253317,26.799
27.006,27.006,25.646,365297,26.06
24.542,24.542,22.768,135278,22.768
22.147,22.147,20.787,147515,21.408
21.822,22.236,21.289,249234,21.289
21.408,21.408,20.461,321729,20.461
20.994,21.408,20.668,130333,21.201
20.787,20.787,20.254,133490,20.787
20.994,21.289,20.994,128866,21.289
21.408,21.822,21.289,85557,21.289
22.029,22.236,21.9,66641,22.029
22.847,23.881,22.847,86043,23.675
24.088,24.088,23.182,124605,23.468
22.029,22.029,20.787,142336,20.787
20.787,21.693,20.787,128944,21.496
21.496,21.496,20.787,137646,20.875
20.994,22.029,20.994,65630,22.029
22.442,22.442,22.029,106520,22.442
22.236,22.236,21.822,80573,21.9
22.029,22.64,22.029,130104,22.442
21.822,21.9,21.693,62943,21.822
21.822,22.236,21.693,40183,21.693
20.254,21.201,20.254,65820,20.787
20.994,20.994,20.787,53581,20.994
22.442,22.442,21.496,65093,21.615
21.822,22.029,21.615,79883,21.693
22.029,22.442,21.9,144020,22.442
22.64,22.64,22.354,121704,22.354
22.442,22.768,22.236,75311,22.768
22.847,23.054,22.442,175507,23.054
23.261,23.261,22.768,96766,22.768
22.442,22.442,22.029,57292,22.147
21.615,21.615,21.615,61552,21.615
21.408,21.822,21.408,53311,21.615
22.236,22.561,22.236,87784,22.561
23.261,23.793,23.261,119765,23.675
23.675,23.675,22.64,97546,22.768
22.64,23.054,22.64,54435,22.847
22.354,22.768,22.354,54797,22.64
22.64,22.847,22.147,98320,22.147
22.236,22.442,22.236,48829,22.236
21.9,22.029,21.822,68280,21.9
22.442,23.182,22.442,90845,22.768
23.182,23.182,22.561,73184,22.561
23.054,23.054,22.561,57938,22.561
22.442,22.847,22.442,57020,22.561
22.847,22.847,22.561,64328,22.561
22.64,22.847,22.442,61706,22.442
22.847,22.847,22.561,67219,22.561
22.442,22.442,22.029,57129,22.147
22.029,22.029,22.029,76796,22.029
21.822,22.029,21.822,50838,22.029
22.029,22.029,21.822,58744,21.822
21.822,21.9,21.408,46214,21.615
21.408,21.693,21.408,17470,21.496
21.615,21.615,20.994,46456,20.994
21.201,21.201,20.994,38971,20.994
21.408,21.408,21.082,76031,21.289
21.9,21.9,21.496,45431,21.496
21.408,21.408,21.082,29950,21.082
20.994,20.994,20.994,29913,20.994
20.994,21.289,20.994,28483,21.289
20.994,20.994,20.383,41750,20.383
20.59,20.668,20.383,56818,20.383
20.176,20.176,19.722,52422,19.84
19.722,19.722,19.722,52111,19.722
19.722,20.383,19.643,40365,19.969
21.201,21.822,21.201,41286,21.822
20.59,21.201,20.59,52281,20.787
20.383,20.383,19.84,25231,19.84
19.969,20.176,19.969,22992,20.176
20.047,20.047,19.436,10516,19.436
19.515,19.515,18.687,22095,18.687
18.894,19.308,18.894,27376,19.308
19.101,19.101,18.283,16892,18.283
