3.0631,3.086,3.0173,3.0554,78530,3
2.9867,3.0554,2.9867,3.0173,128747,3
3.0478,3.0631,3.002,3.0554,81093,3
3.0249,3.0554,2.9867,3.0249,74279,3
3.0249,3.0249,2.9026,3.0173,57919,3
2.9485,2.9791,2.9255,2.9715,39807,3
2.9715,2.9791,2.9103,2.9332,69872,3
2.9026,2.9332,2.788,2.9332,35086,3
2.7958,2.9408,2.7958,2.9408,70253,3
2.9408,2.9408,2.8645,2.8721,49510,3
2.9026,2.9255,2.9026,2.9255,61620,3
2.9255,2.9255,2.8797,2.9026,30718,3
2.9026,3.0478,2.8875,3.0478,88758,3
3.0478,3.0935,2.9867,3.0478,69062,3
3.0478,3.0935,3.0402,3.0554,108555,3
3.0707,3.0707,3.002,3.0554,42658,3
3.0554,3.0554,2.8875,2.8875,33949,3
2.9408,2.9637,2.9026,2.9561,10959,3
2.9178,2.9561,2.9178,2.9255,9638,3
2.9255,2.9255,2.9026,2.9255,6094,3
2.9026,3.002,2.8797,2.9944,32131,3
3.0554,3.1319,2.9408,2.9408,29435,3
2.9408,3.0173,2.9103,2.9103,17000,3
2.9944,2.9944,2.9178,2.9867,48674,3
2.9867,2.9944,2.9103,2.9791,16817,3
2.9791,2.9944,2.9485,2.9867,22440,3
2.9867,3.0478,2.9791,3.0478,69560,3
3.0402,3.0478,3.0249,3.0478,32837,3
3.0478,3.0478,2.9791,3.0478,115669,3
3.0478,3.0478,2.8797,2.9026,26258,3
2.8263,2.9408,2.7958,2.9178,19172,3
2.9026,3.0478,2.9026,2.9485,37087,3
2.9026,3.002,2.9026,2.9791,12369,3
2.8416,2.9561,2.8416,2.9408,40605,3
2.9332,2.9791,2.9178,2.9715,29448,3
2.9791,2.9791,2.9715,2.9715,15510,3
2.9715,3.2081,2.9715,3.1777,190486,3
3.3228,3.3228,3.1548,3.2081,85449,3
3.2235,3.2539,3.1777,3.2081,48242,3
3.2081,3.5137,3.2081,3.3992,118405,3
3.3763,3.4984,3.2158,3.4984,73325,3
3.6589,3.7887,3.5978,3.7887,204793,3
3.8193,3.8881,3.7735,3.7887,132004,3
3.7964,3.8193,3.636,3.8117,89213,3
3.7887,4.0026,3.7887,3.9797,109903,3
